Color (10),Medium (20),Photography (5),Lighting (8),Descriptors (15),Film & Games (25)
pastel color,stained glass,,glowing light,kaleidoscope,Metal Gear Solid
rainbow color,sticker,,halfrear lighting,knotted,Metroid Prime
saturated color,tattoo,,incandescent bulb,luxury,Minecraft
sepia color,technical illustration,,infrared light,mandala,Minecraft Dungeons
spectral solar,typography,,lantern light,mandelbrot,Mortal Kombat
vibrant color,vector art,,laser light,mandelbulb,Need for Speed
vivid color,wall mural,,LED lights,maximum detail,Nintendogs
warm color,web design,,led strip light,micro details,No Man's Sky
(2) Displays,woodblock print,,lens flare,molecular,Outlast
RGB,zine,,light rays,newton fractal,Overcooked!
CMYK,(1) Flat Output: Drawing,,moonlight,ornate,Pac-Man
1-bit grayscale,anatomical drawing,,natural lighting,pattern,"Papers, Please"
4-bit grayscale,anime,,neon bulb,rorschach,Path of Exile
3-bit color,aquarelle,,neon sign,sacred geometry,Perfect Dark
6-bit color,ballpoint pen drawing,,night light,seamless,Persona 5
technicolor,calligraphy,,nixie tube bulb,spirograph,Planetside 2
(2) Seasonal Colors,cartoon,,oil lamp,symmetrical,Pokémon
spring colors,chalk,,overhead lighting,trending on ArtStation,Portal
summer colors,chalkboard drawing,,pendant light,Flickr,Prince of Persia
autumn colors,charcoal drawing,,plasma globe,DeviantArt,PUBG Battlegrounds
winter colors,child's drawing,,porch light,(1) Rendering: Styles,Quake
(2) Color Mix Styles,collage,,red light,3D Render,Ratchet & Clank
camouflage color,collagraphy,,security light,atari,Rayman Legends
confetti color,colored pencil drawing,,silhouette lighting,blender render,Red Dead Redemption
diffraction pattern color,coloring book,,spotlight,cinema 4D,Resident Evil
disco color,comics,,street light,cryengine,Return to Castle Wolfenstein
funky color,crosshatch drawing,,sunlight,houdini-render,RimWorld
gradient color,decorative papercraft,,torch light,icon,Rocket League
halftone color,decoupage,,uv light,low poly,Rust
polka dot color,doodle,,vacuum tube bulb,microsoft paint,Sam & Max Hit the Road
pop-art color,drypoint,,wall sconce light,nintendo,Seven Days to Die
purity color,embroidery,,warning light,octane,Shadow of the Colossus
spectrum color,etching,,x-ray,openGL,Sid Meier's Civilization VI
synesthesia color,graphic novel,,,photoshop,Skyrim
tie-dye color,illuminated manuscript,,,raylectron,Sonic the Hedgehog
(1) Photography,india ink,,,sketchup,Street Fighter
35mm film color,ink drawing,,,unreal engine,Super Mario 64
agfacolor color,linocut,,,vector graphic,Super Mario Bros.
ambrotype color,marker drawing,,,zbrush,Super Mario Odyssey
bokeh color,monoprint,,,(1) Rendering: Reflections,Super Smash Bros.
calotype color,mosaic,,,ray tracing reflections,Team Fortress 2
chromatic aberration color,paper cutouts,,,lumen reflections,Tekken
collodion glass plate color,pastel,,,screen space reflections,Terraria
cyanotype color,pattern drawing,,,diffraction grating,Tetris
daguerreotype color,pencil drawing,,,(1) Rendering: Properties,The Binding of Isaac
depth map color,pointillism,,,transparent,The Elder Scrolls
expired film color,pop-up book,,,textured,The Last of Us Part II
expired polaroid,quilling,,,rough,The Legend of Zelda
film negative color,scherenschnitte,,,matte,The Long Dark
fujifilm digital,screen printing,,,(1) Time,The Walking Dead
hyperspectral imaging color,silkscreen,,,1930s style,The Witcher
instax color,stencil,,,1950s style,Tom Clancy's Rainbow Six Siege
kodachrome color,stencil art,,,1960s style,Tomb Raider
kodak gold 200 film color,stipple,,,1970s style,Tony Hawk's Pro Skater
lomography color,storybook illustration,,,1980s style,Transistor
night vision color,tangle patterns,,,1990s style,Trials Rising
photogram color,tarot card,,,Stone Age,Uncharted
polaroid color,trading card,,,Bronze Age,"Warhammer 40,000 Dawn of War"
sepia photograph color,typography,,,Iron Age,Wii Sports
tintype color,ukiyo-e,,,Ancient Greece,World of Goo
tri-x 400 tx color,wood engraving,,,Ancient Rome,Worms World Party
ultraviolet color,woodcut,,,Persian Empire,Xenoblade Chronicles
vignette color,zentangle,,,Byzantine Empire,Yakuza
vintage film color,zine,,,Renaissance Humanism,Your Doodles are Bugged
,(1) Flat Output: Painting,,,Protestant Reformation,Zynga Poker
,acrylic painting,,,European Renaissance,(2) Film
,airbrush painting,,,Enlightenment,2001 A Space Odyssey
,casein painting,,,Industrial Revolution,A Beautiful Mind
,cave painting,,,Age of Imperialism,A Clockwork Orange
,chiaroscuro painting,,,Victorian Era,Adaptation
,collage painting,,,World War I,Aladdin
,color field painting,,,Great Depression,Alice in Wonderland
,digital painting,,,World War II,Amelie
,encaustic painting,,,antique,American Graffiti
,fresco painting,,,medieval,Apocalypse Now
,glass painting,,,modern,Arrival
,glitter painting,,,retro,Back to the Future
,gouache painting,,,victorian,Bambi
,graffiti painting,,,vintage,Beauty and the Beast
,hydro-dipping painting,,,(1) Emotions Plus,Being John Malkovich
,impasto painting,,,angelic,Birdman
,light painting,,,angry,Blade Runner
,mixed media painting,,,annoyed,Brave
,mural painting,,,anxious,Brazil
,oil painting,,,aversion,Captain America
,oil pastel painting,,,bitter,Citizen Kane
,painting,,,creepy,City of God
,pastel painting,,,demonic,Dark Knight
,pointillism painting,,,depressing,Django Unchained
,puffy paint painting,,,​dislike,Doctor Strange
,scroll painting,,,dreamy,Dogville
,sfumato painting,,,dystopian,Drive
,splatter painting,,,ecstasy,Dune
,spray paint painting,,,elegant,Enemy
,spray painting,,,elite,Enter the Void
,still-life painting,,,evil,Eraserhead
,street art painting,,,excitement,Eternal Sunshine Of The Spotless Mind
,tempera painting,,,fashion,Fantasia
,tenebrism painting,,,frustrated,Fargo
,watercolor painting,,,gloomy,Finding Nemo
,wet paint painting,,,grateful dead,Gravity
,(1) Dimensional Output,,,happy,Guardians of the Galaxy
,architecture,,,hopeless,Harry Potter and the Philosopher's Stone
,balloon modeling,,,horrified,Hook
,basket weaving,,,horror,Inception
,beadwork,,,infuriated,Inglourious Basterds
,bone china,,,insulted,Interstellar
,claymation,,,lonely,Iron Man
,crochet,,,luxury,It
,cross-stitch,,,mad,Jurassic Park
,decoupage,,,mellow,Kill Bill
,diorama,,,miserable,La La Land
,embroidery,,,moody,Labyrinth
,enamel pin,,,nauseated,Life of Pi
,etching,,,nervous,Mad Max Fury Road
,felt,,,offended,Metropolis
,glassblowing,,,ominous,Momento
,ice sculpture,,,panicked,Neon Demon
,jewelry making,,,revulsion,Oblivion
,knitting,,,sad,Once Upon a Time in Hollywood
,macramé,,,satanic,Only God Forgives
,mosaic,,,scared,Paprika
,needlepoint,,,sleepy,Pinocchio
,origami,,,stressed,Pirates of the Caribbean
,paper mache,,,tired,Pleasantville
,paper model,,,vengeful,Psycho
,pottery,,,whimsical,Pulp Fiction
,quilting,,,worried,Ratatouille
,relief carving,,,(1) Seasons,Sleeping Beauty
,resin,,,spring,Snow White and the Seven Dwarfs
,rock art,,,summer,Spirited Away
,sculpture,,,autumn,Star Wars
,stained glass,,,winter,Stranger Things
,stone tablet,,,(1) Holidays,Suspiria
,string art,,,Bodhi Day,The Artist
,tapestry,,,Chinese New Year,The Avengers
,textile,,,Christmas,The Cell
,wax carving,,,Cinco De Mayo,The Chronicles of Narnia
,weaving,,,Diwali,The Dark Crystal
,wire sculpture,,,Easter,The Exorcist
,wood carving,,,Eid al-Fitr,The Fall
,yarn knitting,,,Halloween,The Grand Budapest Hotel
,zentangle,,,Hanukkah,The Great Gatsby
,(1) Photography,,,Independence Day,The Hateful Eight
,photograph,,,New Year,The Hunger Games
,35mm film photograph,,,Ramadan,The Incredibles
,agfacolor photograph,,,St. Patrick's Day,The Joker
,ambrotype photograph,,,Thanksgiving,The King's Speech
,calotype photograph,,,Valentine's Day,The Lion King
,collodion glass plate photograph,,,(1) Elements,The Little Mermaid
,cyanotype photograph,,,ice,The Lord of the Rings
,daguerreotype photograph,,,fire,The Matrix
,depth map photograph,,,liquid,The Nightmare Before Christmas
,disposable camera photograph,,,fog,The Phantom of the Opera
,expired film photograph,,,wind,The Prestige
,expired polaroid,,,storm,The Revenant
,film negative photograph,,,flood,The Secret of NIMH
,glamor photography,,,rain,The Shape of Water
,hyperspectral imaging,,,organic,The Sixth Sense
,infrared photography,,,plasma,The Terminator
,instax photograph,,,(1) Shapes,The Tree of Life
,knolling photograph,,,circle shape,The Truman Show
,kodachrome photograph,,,semi-circle shape,The Wizard of Oz
,lomography photograph,,,oval shape,Thor Ragnarok
,night vision photograph,,,square shape,TRON
,paparazzi photograph,,,triangle shape,Up
,photogram photograph,,,rectangle shape,Wall-E
,pinhole photograph,,,polygonal shape,What Dreams May Come
,polaroid photograph,,,cube shape,Who Framed Roger Rabbit
,portrait photograph,,,sphere shape,
,product photograph,,,cone shape,
,sepia photograph,,,parallelogram shape,
,silhouette photograph,,,rhombus shape,
,tilt-shift lens photograph,,,trapezoid shape,
,tintype photograph,,,kite shape,
,trail cam photograph,,,pentagon shape,
,ultraviolet photograph,,,hexagon shape,
,vintage film photograph,,,rubik cube shape,
,(1) Displays,,,organic shape,
,1990s computer graphics,,,(1) Backgrounds,
,4k,,,white background,
,active matrix LCD display,,,black background,
,AMOLED display,,,flat background,
,ASCII,,,textured background,
,atari graphics,,,hazy background,
,CRT display,,,(1) Bodies,
,DLP display,,,attractive,
,dot matrix display,,,baby,
,e-paper display,,,beautiful,
,electroluminescent display,,,child,
,front-projection display,,,cute,
,holograph,,,fat,
,LCD display,,,female,
,LED display,,,full body pose,
,microLED display,,,handsome,
,NanoLED display,,,male,
,OLED display,,,messy,
,passive matrix LCD display,,,old,
,pixel art,,,short,
,plasma display,,,skinny,
,quantum dot display,,,tall,
,raster graphics,,,ugly,
,rear-projection display,,,young,
,vector graphics,,,,
,VHS tape,,,,
